"s.index","Longitude","Latitude","utmx","utmy","Year","Month","Day","y8hrmax","xmaxtemp","xwdsp","xrh"
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,1,53.88,27.8577158143695,5.45995304436968,2.76622140544772
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,2,57.13,30.115631609392,8.21176736130375,3.19775043735016
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,3,72,30.0000062669704,4.45958066082638,3.22518618903775
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,4,36.63,27.8965582213743,3.6922248170395,4.36233373180224
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,5,42.63,25.65697878788,4.3743137111401,3.95031966335604
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,6,30.88,24.6196784672395,4.17808572730728,3.42053283279527
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,7,38.25,26.5544608035517,3.26054317103366,3.15581592834687
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,8,42.12,27.4973546215606,1.62549089516963,3.19126428778779
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,9,46.5,28.3026530725761,3.05114168075665,3.59154185438998
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,10,68,28.4501465865577,4.95563571995744,3.28185570952532
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,11,55.13,28.6035643724828,4.60102382212777,3.77348515108379
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,12,34.63,25.2592777230747,2.36610997814321,5.12457773085036
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,13,45.13,26.9778300709546,5.41894934066196,4.7845133225287
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,14,52.88,31.0524046099287,2.63308321105484,3.23770957943589
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,15,59.25,29.507583244981,3.0101538931874,3.88666294190047
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,16,40.37,31.9654011232546,3.11831781808667,3.25968262655226
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,17,65,33.0555423817649,3.65417738408799,3.09979879885989
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,18,61.33,32.3001977692233,4.27885843796854,3.29548789517738
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,19,48.25,30.1913684572615,3.46189489432764,3.15674325154944
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,20,52.33,28.9094064954627,4.22977253237582,3.34551705436842
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,21,56.87,29.7573009852054,3.54079864032952,3.87133346420132
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,22,35.88,26.3051916275533,3.62162355823499,4.90676064746859
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,23,39.5,23.5217619205408,4.62391933138325,4.75078172534868
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,24,42.88,27.1696074147003,2.83037312957006,3.27433624342973
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,25,64.38,29.7358241142097,5.69446409807209,3.29363938205848
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,26,59,30.3348586056291,3.85947828133664,3.55621048943176
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,27,57.5,30.7972111432968,5.41621724869673,3.77548858956172
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,28,31.38,27.3062730714777,5.18088312709469,5.00149690432295
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,29,43.63,30.4973091033602,4.84280685000498,3.65473377420171
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,30,35.5,29.1360876116402,4.74850975512134,3.62215931421297
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,7,31,47.17,29.8571802425559,3.06436701074424,3.14982908726107
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,1,59.13,34.3728932962173,4.19311053243109,3.33646320385351
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,2,55.88,34.3391779473202,5.02287580152524,3.352791804285
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,3,50.5,32.5381163382171,5.51848008844561,3.63548428741446
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,4,37.5,28.9938980432111,4.15120122648699,3.79481753576058
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,5,34.5,27.2218970289774,4.15588332884329,3.56760288850158
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,6,42.38,27.2894943435469,3.51370442607419,3.17595754411849
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,7,61.5,29.9192223763441,6.60835152336473,3.65012550362799
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,8,41.25,27.5925284852052,6.03307969962234,3.5438346266183
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,9,44.5,26.0521834316004,2.6941445003366,3.02700388469707
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,10,60.88,27.2462299190676,3.93512706933699,3.1732679346648
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,11,34,24.5178129206209,4.99720405511065,3.28865585150857
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,12,33.75,23.2428060828013,4.54379000483058,2.84226776980883
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,13,34.5,24.6277204808497,3.93335530879109,2.68695673649681
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,14,55.75,28.532875370159,4.2714244758099,2.45854503525257
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,15,38.75,27.7473075852851,6.15201867321734,3.42377695978493
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,16,34.25,26.7868491801329,3.51824389996011,3.17745622978167
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,17,53.38,27.6250040039914,2.1982574787256,3.05197508475018
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,18,64.62,28.4385849872815,2.99566704542352,3.11864229698969
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,19,38.37,26.4414714196543,3.7689654866604,3.94318856228004
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,20,49.25,27.5057070558305,5.70472273917598,4.36915703689568
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,21,38.75,26.4265531169567,6.55891471485584,3.43829522727774
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,22,48.33,27.0260178582466,3.93166945860547,2.96672250825393
1,-73.757,42.681,601838.084376672,4726140.30758887,2006,8,23,36.13,25.8252708537667,3.53257278431779,3.54548249441693
